trajectory,time,lon,lat
0,2025-09-07 10:30:00,135.0,33.5
0,2025-09-07 10:40:00,135.00575,33.50061
0,2025-09-07 10:50:00,135.00763,33.502155
0,2025-09-07 11:00:00,135.01202,33.502342
0,2025-09-07 11:10:00,135.01811,33.50163
0,2025-09-07 11:20:00,135.02296,33.502747
0,2025-09-07 11:30:00,135.02637,33.502453
0,2025-09-07 11:40:00,135.0311,33.50137
0,2025-09-07 11:50:00,135.03386,33.503296
0,2025-09-07 12:00:00,135.03513,33.50207
0,2025-09-07 12:10:00,135.03865,33.502724
0,2025-09-07 12:20:00,135.04253,33.501007
0,2025-09-07 12:30:00,135.04501,33.50036
0,2025-09-07 12:40:00,135.04797,33.499798
0,2025-09-07 12:50:00,135.05174,33.49961
0,2025-09-07 13:00:00,135.05388,33.49964
0,2025-09-07 13:10:00,135.05748,33.497723
0,2025-09-07 13:20:00,135.06107,33.49525
0,2025-09-07 13:30:00,135.06276,33.49447
0,2025-09-07 13:40:00,135.06519,33.491966
0,2025-09-07 13:50:00,135.0676,33.48995
0,2025-09-07 14:00:00,135.06798,33.48731
0,2025-09-07 14:10:00,135.06932,33.48465
0,2025-09-07 14:20:00,135.06995,33.483826
0,2025-09-07 14:30:00,135.07217,33.483456
0,2025-09-07 14:40:00,135.07361,33.480583
0,2025-09-07 14:50:00,135.07579,33.479332
0,2025-09-07 15:00:00,135.0792,33.478363
0,2025-09-07 15:10:00,135.08084,33.476456
0,2025-09-07 15:20:00,135.08301,33.475777
0,2025-09-07 15:30:00,135.08434,33.475864
0,2025-09-07 15:40:00,135.08464,33.475754
0,2025-09-07 15:50:00,135.08629,33.474594
0,2025-09-07 16:00:00,135.08594,33.472263
0,2025-09-07 16:10:00,135.08679,33.470894
0,2025-09-07 16:20:00,135.08737,33.468494
0,2025-09-07 16:30:00,135.08626,33.466324
1,2025-09-07 10:30:00,135.0,33.5
1,2025-09-07 10:40:00,135.00415,33.500942
1,2025-09-07 10:50:00,135.0058,33.501476
1,2025-09-07 11:00:00,135.01164,33.500633
1,2025-09-07 11:10:00,135.01424,33.50085
1,2025-09-07 11:20:00,135.01817,33.50102
1,2025-09-07 11:30:00,135.02081,33.500603
